algname,algorithm
Ua,(R U' R U) R U (R U' R' U') R2,,,,,,,,,,,,,,,,,,,,,,,,,
Ub,R2 U (R U R' U') R' U' (R' U R'),,,,,,,,,,,,,,,,,,,,,,,,,
Z,(R' U' R U' R U) (R U' R' U R U R2 U' R'),,,,,,,,,,,,,,,,,,,,,,,,,
H,(M2' U M2') U2 (M2' U M2'),,,,,,,,,,,,,,,,,,,,,,,,,
Aa,x (R' U R') D2 (R U' R') D2 R2 x',,,,,,,,,,,,,,,,,,,,,,,,,
Ab,x R2' D2 (R U R') D2 (R U' R) x',,,,,,,,,,,,,,,,,,,,,,,,,
E,x' (R U' R' D) (R U R' D') (R U R' D) (R U' R' D') x,,,,,,,,,,,,,,,,,,,,,,,,,
Ra,(R U R' F') (R U2 R' U2') (R' F R U) (R U2' R'),,,,,,,,,,,,,,,,,,,,,,,,,
Rb,(R' U2 R U2) R' F (R U R' U') R' F' R2,,,,,,,,,,,,,,,,,,,,,,,,,
Ja,(R' U L' U2) (R U' R' U2 R) L,,,,,,,,,,,,,,,,,,,,,,,,,
Jb,(R U R' F') (R U R' U') R' F R2 U' R',,,,,,,,,,,,,,,,,,,,,,,,,
T,(R U R' U') (R' F R2 U') R' U' (R U R' F'),,,,,,,,,,,,,,,,,,,,,,,,,
F,(R' U' F')(R U R' U')(R' F R2 U')(R' U' R U)(R' U R),,,,,,,,,,,,,,,,,,,,,,,,,
V,(F' U F' U') (R' F' R2 U') (R' U R' F) R F,,,,,,,,,,,,,,,,,,,,,,,,,
Y,F (R U' R' U') (R U R' F') (R U R' U') (R' F R F'),,,,,,,,,,,,,,,,,,,,,,,,,
Na,(R U R' U)(R U R' F')(R U R' U')(R' F R2 U') R' U2 (R U' R'),,,,,,,,,,,,,,,,,,,,,,,,,
Nb,(R' U R U') (R' F' U' F) (R U R' F) R' F' (R U' R),,,,,,,,,,,,,,,,,,,,,,,,,
Ga,R2 u (R' U R' U') R u' R2 y' (R' U R),,,,,,,,,,,,,,,,,,,,,,,,,
Gb,(F' U' F) (R2 u R' U) (R U' R u') R2',,,,,,,,,,,,,,,,,,,,,,,,,
Gc,R2' F2 (R U2 R U2') R' F (R U R' U') R' F R2,,,,,,,,,,,,,,,,,,,,,,,,,
Gd,D' (R U R' U') D (R2 U' R U') (R' U R' U) R2,,,,,,,,,,,,,,,,,,,,,,,,,
